German2,de,dewiki,913.9 MB,dewiki-20150602-pages-articles2.xml.bz2,/20150602/
German3,de,dewiki,840.5 MB,dewiki-20150602-pages-articles3.xml.bz2,/20150602/
German4,de,dewiki,1.8 GB,dewiki-20150602-pages-articles4.xml.bz2,/20150602/
Zazaki,diq,diqwiki, 4.8 MB,diqwiki-20150602-pages-articles.xml.bz2,/20150602/
Lower Sorbian,dsb,dsbwiki, 2.9 MB,dsbwiki-20150603-pages-articles.xml.bz2,/20150603/
Divehi,dv,dvwiki, 3.3 MB,dvwiki-20150602-pages-articles.xml.bz2,/20150602/
Dzongkha,dz,dzwiki, 171 KB,dzwiki-20150603-pages-articles.xml.bz2,/20150603/
Ewe,ee,eewiki, 234 KB,eewiki-20150603-pages-articles.xml.bz2,/20150603/
Greek,el,elwiki, 193.8 MB,elwiki-20150602-pages-articles.xml.bz2,/20150602/
Emilian-Romagnol,eml,emlwiki, 3.9 MB,emlwiki-20150603-pages-articles.xml.bz2,/20150603/
English1,en,enwiki, 44.7 MB,enwiki-20150602-pages-articles1.xml-p000000010p000010000.bz2,/20150602/
English2,en,enwiki, 73.2 MB,enwiki-20150602-pages-articles2.xml-p000010002p000025001.bz2,/20150602/
English3,en,enwiki, 111.1 MB,enwiki-20150602-pages-articles3.xml-p000025001p000055000.bz2,/20150602/
English4,en,enwiki, 113.3 MB,enwiki-20150602-pages-articles4.xml-p000055002p000104998.bz2,/20150602/
English5,en,enwiki, 155.5 MB,enwiki-20150602-pages-articles5.xml-p000105002p000184999.bz2,/20150602/
English6,en,enwiki, 182.0 MB,enwiki-20150602-pages-articles6.xml-p000185003p000305000.bz2,/20150602/
English7,en,enwiki, 211.3 MB,enwiki-20150602-pages-articles7.xml-p000305002p000465001.bz2,/20150602/
English8,en,enwiki, 199.9 MB,enwiki-20150602-pages-articles8.xml-p000465001p000665001.bz2,/20150602/
English9,en,enwiki, 192.8 MB,enwiki-20150602-pages-articles9.xml-p000665001p000925001.bz2,/20150602/
English10,en,enwiki, 278.1 MB,enwiki-20150602-pages-articles10.xml-p000925001p001325001.bz2,/20150602/
English11,en,enwiki, 289.4 MB,enwiki-20150602-pages-articles11.xml-p001325001p001825001.bz2,/20150602/
English12,en,enwiki, 315.0 MB,enwiki-20150602-pages-articles12.xml-p001825001p002425000.bz2,/20150602/
English13,en,enwiki, 296.9 MB,enwiki-20150602-pages-articles13.xml-p002425002p003125001.bz2,/20150602/
English14,en,enwiki, 296.0 MB,enwiki-20150602-pages-articles14.xml-p003125001p003925001.bz2,/20150602/
English15,en,enwiki, 284.0 MB,enwiki-20150602-pages-articles15.xml-p003925001p004824998.bz2,/20150602/
English16,en,enwiki, 347.4 MB,enwiki-20150602-pages-articles16.xml-p004825005p006025001.bz2,/20150602/
English17,en,enwiki, 353.1 MB,enwiki-20150602-pages-articles17.xml-p006025001p007524997.bz2,/20150602/
English18,en,enwiki, 372.5 MB,enwiki-20150602-pages-articles18.xml-p007525004p009225000.bz2,/20150602/
English19,en,enwiki, 350.6 MB,enwiki-20150602-pages-articles19.xml-p009225002p011124997.bz2,/20150602/
English20,en,enwiki, 469.5 MB,enwiki-20150602-pages-articles20.xml-p011125004p013324998.bz2,/20150602/
English21,en,enwiki, 484.9 MB,enwiki-20150602-pages-articles21.xml-p013325003p015724999.bz2,/20150602/
English22,en,enwiki, 437.2 MB,enwiki-20150602-pages-articles22.xml-p015725013p018225000.bz2,/20150602/
English23,en,enwiki, 517.5 MB,enwiki-20150602-pages-articles23.xml-p018225004p020925000.bz2,/20150602/
English24,en,enwiki, 573.4 MB,enwiki-20150602-pages-articles24.xml-p020925002p023725001.bz2,/20150602/
English25,en,enwiki, 604.3 MB,enwiki-20150602-pages-articles25.xml-p023725001p026624997.bz2,/20150602/
English26,en,enwiki, 563.9 MB,enwiki-20150602-pages-articles26.xml-p026625004p029624976.bz2,/20150602/
English27,en,enwiki, 3.2 GB,enwiki-20150602-pages-articles27.xml-p029625017p046872011.bz2,/20150602/
Esperanto,eo,eowiki, 171.9 MB,eowiki-20150602-pages-articles.xml.bz2,/20150602/
Spanish1,es,eswiki, 220.3 MB,eswiki-20150602-pages-articles1.xml.bz2,/20150602/
Spanish2,es,eswiki, 333.1 MB,eswiki-20150602-pages-articles2.xml.bz2,/20150602/
Spanish3,es,eswiki, 462.1 MB,eswiki-20150602-pages-articles3.xml.bz2,/20150602/
Spanish4,es,eswiki, 1.0 GB,eswiki-20150602-pages-articles4.xml.bz2,/20150602/
Estonian,et,etwiki, 123.7 MB,etwiki-20150602-pages-articles.xml.bz2,/20150602/
Basque,eu,euwiki, 120.9 MB,euwiki-20150603-pages-articles.xml.bz2,/20150603/
Extremaduran,ext,extwiki, 1.7 MB,extwiki-20150602-pages-articles.xml.bz2,/20150602/
Persian,fa,fawiki, 384.6 MB,fawiki-20150602-pages-articles.xml.bz2,/20150602/
Fula,ff,ffwiki, 226 KB,ffwiki-20150603-pages-articles.xml.bz2,/20150603/
V_ro,fiu-vro,fiu_vrowiki, 1.6 MB,fiu_vrowiki-20150603-pages-articles.xml.bz2,/20150603/
Finnish,fi,fiwiki, 452.7 MB,fiwiki-20150602-pages-articles.xml.bz2,/20150602/
Fijian,fj,fjwiki, 139 KB,fjwiki-20150603-pages-articles.xml.bz2,/20150603/
Faroese,fo,fowiki, 8.3 MB,fowiki-20150602-pages-articles.xml.bz2,/20150602/
Franco-Provençal,frp,frpwiki, 1.0 MB,frpwiki-20150602-pages-articles.xml.bz2,/20150602/
North Frisian,frr,frrwiki, 3.5 MB,frrwiki-20150602-pages-articles.xml.bz2,/20150602/
French1,fr,frwiki, 438.3 MB,frwiki-20150602-pages-articles1.xml.bz2,/20150602/
French2,fr,frwiki, 531.8 MB,frwiki-20150602-pages-articles2.xml.bz2,/20150602/
French3,fr,frwiki, 585.3 MB,frwiki-20150602-pages-articles3.xml.bz2,/20150602/
French4,fr,frwiki, 1.3 GB,frwiki-20150602-pages-articles4.xml.bz2,/20150602/
Friulian,fur,furwiki, 1.8 MB,furwiki-20150603-pages-articles.xml.bz2,/20150603/
West Frisian,fy,fywiki, 27.2 MB,fywiki-20150602-pages-articles.xml.bz2,/20150602/
Gagauz,gag,gagwiki, 1.8 MB,gagwiki-20150602-pages-articles.xml.bz2,/20150602/
Gan,gan,ganwiki, 2.9 MB,ganwiki-20150603-pages-articles.xml.bz2,/20150603/
Irish,ga,gawiki, 14.5 MB,gawiki-20150603-pages-articles.xml.bz2,/20150603/
Scottish Gaelic,gd,gdwiki, 5.5 MB,gdwiki-20150603-pages-articles.xml.bz2,/20150603/
Gilaki,glk,glkwiki, 1.6 MB,glkwiki-20150602-pages-articles.xml.bz2,/20150602/
Galician,gl,glwiki, 142.6 MB,glwiki-20150602-pages-articles.xml.bz2,/20150602/
Guarani,gn,gnwiki, 2.1 MB,gnwiki-20150602-pages-articles.xml.bz2,/20150602/
Goan Konkani,gom,gomwiki, 2 KB,gomwiki-20150620-pages-articles.xml.bz2,/20150620/
Gothic,got,gotwiki, 446 KB,gotwiki-20150603-pages-articles.xml.bz2,/20150603/
Gujarati,gu,guwiki, 20.5 MB,guwiki-20150602-pages-articles.xml.bz2,/20150602/
Manx,gv,gvwiki, 4.5 MB,gvwiki-20150602-pages-articles.xml.bz2,/20150602/
Hakka,hak,hakwiki, 1.5 MB,hakwiki-20150602-pages-articles.xml.bz2,/20150602/
Hausa,ha,hawiki, 575 KB,hawiki-20150603-pages-articles.xml.bz2,/20150603/
Hawaiian,haw,hawwiki, 387 KB,hawwiki-20150603-pages-articles.xml.bz2,/20150603/
Hebrew,he,hewiki, 372.7 MB,hewiki-20150602-pages-articles.xml.bz2,/20150602/
Fiji Hindi,hif,hifwiki, 3.3 MB,hifwiki-20150603-pages-articles.xml.bz2,/20150603/
Hindi,hi,hiwiki, 89.2 MB,hiwiki-20150603-pages-articles.xml.bz2,/20150603/
Hiri Motu,ho,howiki, 7 KB,howiki-20150602-pages-articles.xml.bz2,/20150602/
Croatian,hr,hrwiki, 180.3 MB,hrwiki-20150602-pages-articles.xml.bz2,/20150602/
Upper Sorbian,hsb,hsbwiki, 6.4 MB,hsbwiki-20150603-pages-articles.xml.bz2,/20150603/
Haitian,ht,htwiki, 4.7 MB,htwiki-20150602-pages-articles.xml.bz2,/20150602/
Hungarian,hu,huwiki, 556.2 MB,huwiki-20150602-pages-articles.xml.bz2,/20150602/
Armenian,hy,hywiki, 106.6 MB,hywiki-20150602-pages-articles.xml.bz2,/20150602/
Herero,hz,hzwiki, 5 KB,hzwiki-20150602-pages-articles.xml.bz2,/20150602/
Interlingua,ia,iawiki, 5.7 MB,iawiki-20150603-pages-articles.xml.bz2,/20150603/
Indonesian,id,idwiki, 298.1 MB,idwiki-20150602-pages-articles.xml.bz2,/20150602/
Interlingue,ie,iewiki, 910 KB,iewiki-20150602-pages-articles.xml.bz2,/20150602/
Igbo,ig,igwiki, 542 KB,igwiki-20150602-pages-articles.xml.bz2,/20150602/
Sichuan Yi,ii,iiwiki, 20 KB,iiwiki-20150602-pages-articles.xml.bz2,/20150602/
Inupiak,ik,ikwiki, 167 KB,ikwiki-20150602-pages-articles.xml.bz2,/20150602/
Ilokano,ilo,ilowiki, 9.1 MB,ilowiki-20150602-pages-articles.xml.bz2,/20150602/
Ido,io,iowiki, 8.5 MB,iowiki-20150603-pages-articles.xml.bz2,/20150603/
Icelandic,is,iswiki, 30.2 MB,iswiki-20150602-pages-articles.xml.bz2,/20150602/
Italian,it,itwiki, 1.9 GB,itwiki-20150602-pages-articles.xml.bz2,/20150602/
Inuktitut,iu,iuwiki, 180 KB,iuwiki-20150602-pages-articles.xml.bz2,/20150602/
Japanese,ja,jawiki, 2.0 GB,jawiki-20150602-pages-articles.xml.bz2,/20150602/
Lojban,jbo,jbowiki, 851 KB,jbowiki-20150603-pages-articles.xml.bz2,/20150603/
Javanese,jv,jvwiki, 30.1 MB,jvwiki-20150602-pages-articles.xml.bz2,/20150602/
Karakalpak,kaa,kaawiki, 1.1 MB,kaawiki-20150603-pages-articles.xml.bz2,/20150603/
Kabyle,kab,kabwiki, 2.5 MB,kabwiki-20150602-pages-articles.xml.bz2,/20150602/
Georgian,ka,kawiki, 79.2 MB,kawiki-20150602-pages-articles.xml.bz2,/20150602/
Kabardian,kbd,kbdwiki, 1.3 MB,kbdwiki-20150602-pages-articles.xml.bz2,/20150602/
Kongo,kg,kgwiki, 288 KB,kgwiki-20150602-pages-articles.xml.bz2,/20150602/
Kikuyu,ki,kiwiki, 188 KB,kiwiki-20150602-pages-articles.xml.bz2,/20150602/
Kuanyama,kj,kjwiki, 5 KB,kjwiki-20150602-pages-articles.xml.bz2,/20150602/
Kazakh,kk,kkwiki, 90.4 MB,kkwiki-20150602-pages-articles.xml.bz2,/20150602/
Greenlandic,kl,klwiki, 677 KB,klwiki-20150603-pages-articles.xml.bz2,/20150603/
Khmer,km,kmwiki, 16.9 MB,kmwiki-20150603-pages-articles.xml.bz2,/20150603/
Kannada,kn,knwiki, 51.6 MB,knwiki-20150602-pages-articles.xml.bz2,/20150602/
Komi-Permyak,koi,koiwiki, 1.7 MB,koiwiki-20150602-pages-articles.xml.bz2,/20150602/
Korean,ko,kowiki, 377.6 MB,kowiki-20150602-pages-articles.xml.bz2,/20150602/
Karachay-Balkar,krc,krcwiki, 2.7 MB,krcwiki-20150602-pages-articles.xml.bz2,/20150602/
Kanuri,kr,krwiki, 3 KB,krwiki-20150603-pages-articles.xml.bz2,/20150603/
Ripuarian,ksh,kshwiki, 2.7 MB,kshwiki-20150602-pages-articles.xml.bz2,/20150602/
Kashmiri,ks,kswiki, 123 KB,kswiki-20150603-pages-articles.xml.bz2,/20150603/
Kurdish,ku,kuwiki, 11.1 MB,kuwiki-20150602-pages-articles.xml.bz2,/20150602/
Komi,kv,kvwiki, 2.3 MB,kvwiki-20150602-pages-articles.xml.bz2,/20150602/
Cornish,kw,kwwiki, 1.1 MB,kwwiki-20150602-pages-articles.xml.bz2,/20150602/
Kirghiz,ky,kywiki, 14.8 MB,kywiki-20150602-pages-articles.xml.bz2,/20150602/
Ladino,lad,ladwiki, 1.9 MB,ladwiki-20150602-pages-articles.xml.bz2,/20150602/
Latin,la,lawiki, 59.5 MB,lawiki-20150602-pages-articles.xml.bz2,/20150602/
Lak,lbe,lbewiki, 748 KB,lbewiki-20150602-pages-articles.xml.bz2,/20150602/
Luxembourgish,lb,lbwiki, 31.4 MB,lbwiki-20150602-pages-articles.xml.bz2,/20150602/
Lezgian,lez,lezwiki, 2.5 MB,lezwiki-20150602-pages-articles.xml.bz2,/20150602/
Luganda,lg,lgwiki, 351 KB,lgwiki-20150602-pages-articles.xml.bz2,/20150602/
Ligurian,lij,lijwiki, 1.7 MB,lijwiki-20150602-pages-articles.xml.bz2,/20150602/
Limburgish,li,liwiki, 8.9 MB,liwiki-20150602-pages-articles.xml.bz2,/20150602/
Lombard,lmo,lmowiki, 15.5 MB,lmowiki-20150602-pages-articles.xml.bz2,/20150602/
Lingala,ln,lnwiki, 922 KB,lnwiki-20150602-pages-articles.xml.bz2,/20150602/
Lao,lo,lowiki, 1.8 MB,lowiki-20150602-pages-articles.xml.bz2,/20150602/
Northern Luri,lrc,lrcwiki, 2.6 MB,lrcwiki-20150620-pages-articles.xml.bz2,/20150620/
Latgalian,ltg,ltgwiki, 616 KB,ltgwiki-20150602-pages-articles.xml.bz2,/20150602/
Lithuanian,lt,ltwiki, 130.6 MB,ltwiki-20150603-pages-articles.xml.bz2,/20150603/
Latvian,lv,lvwiki, 75.0 MB,lvwiki-20150602-pages-articles.xml.bz2,/20150602/
Maithili,mai,maiwiki, 2.0 MB,maiwiki-20150602-pages-articles.xml.bz2,/20150602/
Banyumasan,map-bms,map_bmswiki, 3.6 MB,map_bmswiki-20150603-pages-articles.xml.bz2,/20150603/
Moksha,mdf,mdfwiki, 666 KB,mdfwiki-20150602-pages-articles.xml.bz2,/20150602/
Malagasy,mg,mgwiki, 18.4 MB,mgwiki-20150602-pages-articles.xml.bz2,/20150602/
Meadow Mari,mhr,mhrwiki, 3.5 MB,mhrwiki-20150603-pages-articles.xml.bz2,/20150603/
Marshallese,mh,mhwiki, 17 KB,mhwiki-20150602-pages-articles.xml.bz2,/20150602/
Minangkabau,min,minwiki, 16.9 MB,minwiki-20150602-pages-articles.xml.bz2,/20150602/
Maori,mi,miwiki, 1.3 MB,miwiki-20150602-pages-articles.xml.bz2,/20150602/
Macedonian,mk,mkwiki, 93.4 MB,mkwiki-20150602-pages-articles.xml.bz2,/20150602/
Malayalam,ml,mlwiki, 65.6 MB,mlwiki-20150602-pages-articles.xml.bz2,/20150602/
Mongolian,mn,mnwiki, 18.2 MB,mnwiki-20150602-pages-articles.xml.bz2,/20150602/
Moldavian,mo,mowiki, 397 KB,mowiki-20150603-pages-articles.xml.bz2,/20150603/
Hill Mari,mrj,mrjwiki, 2.1 MB,mrjwiki-20150602-pages-articles.xml.bz2,/20150602/
Marathi,mr,mrwiki, 30.2 MB,mrwiki-20150602-pages-articles.xml.bz2,/20150602/
Malay,ms,mswiki, 128.3 MB,mswiki-20150602-pages-articles.xml.bz2,/20150602/
Maltese,mt,mtwiki, 7.0 MB,mtwiki-20150602-pages-articles.xml.bz2,/20150602/
Muscogee,mus,muswiki, 3 KB,muswiki-20150603-pages-articles.xml.bz2,/20150603/
Mirandese,mwl,mwlwiki, 7.4 MB,mwlwiki-20150602-pages-articles.xml.bz2,/20150602/
Burmese,my,myvwiki, 1.2 MB,myvwiki-20150603-pages-articles.xml.bz2,/20150603/
Erzya,myv,mywiki, 21.2 MB,mywiki-20150602-pages-articles.xml.bz2,/20150602/
Mazandarani,mzn,mznwiki, 4.6 MB,mznwiki-20150602-pages-articles.xml.bz2,/20150602/
Nahuatl,nah,nahwiki, 3.9 MB,nahwiki-20150602-pages-articles.xml.bz2,/20150602/
Neapolitan,nap,napwiki, 4.7 MB,napwiki-20150602-pages-articles.xml.bz2,/20150602/
Nauruan,na,nawiki, 382 KB,nawiki-20150603-pages-articles.xml.bz2,/20150603/
Dutch Low Saxon,nds-nl,nds_nlwiki, 5.6 MB,nds_nlwiki-20150602-pages-articles.xml.bz2,/20150602/
Low Saxon,nds,ndswiki, 20.5 MB,ndswiki-20150602-pages-articles.xml.bz2,/20150602/
Nepali,ne,newiki, 18.5 MB,newiki-20150602-pages-articles.xml.bz2,/20150602/
Newar,new,newwiki, 14.0 MB,newwiki-20150602-pages-articles.xml.bz2,/20150602/
Ndonga,ng,ngwiki, 80 KB,ngwiki-20150603-pages-articles.xml.bz2,/20150603/
Dutch,nl,nlwiki, 1.0 GB,nlwiki-20150602-pages-articles.xml.bz2,/20150602/
Norwegian (Nynorsk),nn,nnwiki, 87.4 MB,nnwiki-20150602-pages-articles.xml.bz2,/20150602/
Novial,nov,novwiki, 868 KB,novwiki-20150603-pages-articles.xml.bz2,/20150603/
Norwegian (BokmÎl),no,nowiki, 425.7 MB,nowiki-20150602-pages-articles.xml.bz2,/20150602/
Norman,nrm,nrmwiki, 1.1 MB,nrmwiki-20150603-pages-articles.xml.bz2,/20150603/
Northern Sotho,nso,nsowiki, 490 KB,nsowiki-20150602-pages-articles.xml.bz2,/20150602/
Navajo,nv,nvwiki, 1.2 MB,nvwiki-20150603-pages-articles.xml.bz2,/20150603/
Chichewa,ny,nywiki, 453 KB,nywiki-20150603-pages-meta-current.xml.bz2,/20150603/
Occitan,oc,ocwiki, 53.0 MB,ocwiki-20150602-pages-articles.xml.bz2,/20150602/
Oromo,om,omwiki, 789 KB,omwiki-20150603-pages-articles.xml.bz2,/20150603/
Oriya,or,orwiki, 11.7 MB,orwiki-20150603-pages-articles.xml.bz2,/20150603/
Ossetian,os,oswiki, 4.9 MB,oswiki-20150602-pages-articles.xml.bz2,/20150602/
Pangasinan,pag,pagwiki, 1.0 MB,pagwiki-20150603-pages-articles.xml.bz2,/20150603/
Kapampangan,pam,pamwiki, 7.4 MB,pamwiki-20150602-pages-articles.xml.bz2,/20150602/
